recid	lon	lat	avgt
10365306000	   2.93	 11.13	 25.91
10365319000	   1.38	 10.32	 27.06
10365335000	   2.47	  8.03	 28.28
10365338000	   2.07	  7.17	 28.45
13361036000	   1.45	 14.20	 26.15
13361090000	   8.98	 13.78	 24.08
13361096000	  11.98	 13.23	 23.12
13761679000	 -16.07	 14.13	 25.57
13761695000	 -16.27	 12.55	  24.3
14168174000	  29.45	-23.87	 21.85
14168262000	  28.18	-25.73	 21.63
14168368000	  28.23	-26.13	 19.27
14168438000	  24.77	-28.80	 24.67
14168442000	  26.30	-29.10	 21.84
14168588000	  30.95	-29.97	 23.47
14168842000	  25.60	-33.98	 20.64
14168858000	  27.83	-33.03	 21.08
14168906000	  -9.88	-40.35	 13.33
20550745000	 123.92	 47.38	-17.31
20551777000	  88.17	 39.03	 -5.67
20552836000	  98.10	 36.30	 -8.83
20553068000	 111.53	 44.22	-16.55
20554292000	 129.47	 42.88	-12.92
20554342000	 123.43	 41.77	-10.32
20557036000	 108.93	 34.30	  0.81
20557083000	 113.65	 34.72	  1.38
20742314000	  95.02	 27.48	 16.87
20742410000	  91.58	 26.10	 18.04
20742647000	  72.63	 23.07	 21.99
20742671000	  78.75	 23.85	 19.54
20742754000	  75.80	 22.72	  19.3
20742867000	  79.05	 21.10	 21.51
20742933000	  77.07	 20.70	 22.54
20743041000	  82.03	 19.08	 21.42
20743057000	  72.82	 18.90	 25.49
20743128000	  78.50	 17.50	 22.28
20743185000	  81.15	 16.20	 24.15
20743314000	  75.78	 11.25	 26.99
20743369000	  73.15	  8.30	 26.75
21047401000	 141.68	 45.42	  -4.4
21047407000	 142.37	 43.77	  -7.0
21047409000	 144.28	 44.02	 -5.56
21047412000	 141.33	 43.05	 -3.62
21047418000	 144.40	 42.98	 -4.91
21047420000	 145.58	 43.33	 -3.62
21047421000	 140.23	 42.80	 -1.99
21047426000	 142.78	 42.17	 -1.98
21047430000	 140.75	 41.82	 -2.78
21047575000	 140.77	 40.82	 -1.32
21047582000	 140.10	 39.72	  0.35
21047585000	 141.97	 39.65	  1.04
21047590000	 140.90	 38.27	  2.05
21047598000	 140.90	 36.95	  4.23
21047600000	 136.90	 37.38	  3.38
21047605000	 136.63	 36.58	   3.7
21047618000	 137.97	 36.25	 -0.25
21047624000	 139.10	 36.40	  3.94
21047636000	 136.97	 35.17	  4.31
21047648000	 140.87	 35.73	  6.58
21047655000	 138.22	 34.60	  6.77
21047662000	 139.77	 35.68	  5.71
21047678000	 139.78	 33.10	 10.95
21047696001	 139.67	 35.28	  6.49
21047755000	 132.07	 34.90	  6.02
21047764001	 132.23	 34.15	  5.59
21047772000	 135.52	 34.68	  5.57
21047778000	 135.77	 33.45	  8.25
21047800000	 129.30	 34.20	  5.42
21047807000	 130.38	 33.58	  6.05
21047815000	 131.62	 33.23	  5.94
21047817000	 129.87	 32.73	  7.02
21047827000	 130.55	 31.55	  7.61
21047830000	 131.42	 31.92	  7.64
21047837000	 131.00	 30.73	 11.81
21047843000	 128.83	 32.70	  7.27
21047891000	 134.05	 34.32	  5.26
21047898000	 133.02	 32.72	  8.85
21047909000	 129.50	 28.38	  14.5
21047918000	 124.17	 24.33	 18.14
21047927000	 125.28	 24.78	 17.65
21047936000	 127.68	 26.20	 16.51
21047945000	 131.23	 25.83	 17.75
21047991000	 153.97	 24.30	 22.39
21941598000	  73.72	 32.93	 13.57
21941624000	  70.92	 31.82	 13.68
21941640000	  74.33	 31.55	 14.04
21941660000	  66.90	 30.30	  5.05
21941675000	  71.43	 30.20	 14.24
21941715000	  68.47	 28.30	 16.82
21941739000	  64.10	 26.97	 12.37
21941780000	  67.13	 24.90	 19.46
22147115000	 130.90	 37.48	  1.23
22147138000	 129.38	 36.03	  1.46
22147159000	 129.03	 35.10	  3.03
22147165000	 126.38	 34.78	  2.43
22147184000	 126.53	 33.52	  5.62
22223330000	  66.67	 66.53	-23.52
22223933000	  69.03	 61.02	-19.62
22224125000	 112.43	 68.50	-36.25
22224266000	 133.38	 67.55	-45.81
22224641000	 121.62	 63.77	-35.11
22224959000	 129.72	 62.02	-39.25
22225400000	 150.90	 65.73	-35.94
22225954000	 166.00	 60.35	-14.03
22228275000	  68.25	 58.15	-17.92
22228440000	  60.60	 56.80	-13.64
22228698000	  73.38	 55.02	-16.42
22229263000	  92.15	 58.45	-20.93
22229282000	  97.45	 58.38	-22.91
22229838000	  83.52	 53.43	-14.59
22229866000	  91.70	 53.70	-17.81
22231004000	 125.37	 58.62	-26.24
22231168000	 138.15	 56.45	-18.16
22231369000	 140.70	 53.15	-21.97
22231735000	 135.23	 48.53	-18.96
22340394000	  41.68	 27.43	 12.27
22340416000	  50.15	 26.27	 16.82
22340438000	  46.73	 24.72	 15.03
22938507000	  52.98	 40.03	  4.52
22938687000	  63.60	 39.08	  3.59
22938880000	  58.33	 37.97	  4.76
30187047000	 -65.48	-24.85	 20.72
30187078000	 -60.58	-24.70	 27.21
30187155000	 -59.05	-27.45	 26.18
30187270000	 -59.70	-29.18	 25.25
30187349000	 -63.88	-31.67	 22.53
30187395000	 -58.02	-31.30	 24.59
30187509000	 -68.40	-34.58	  22.1
30187534000	 -63.37	-34.13	 22.95
30187548000	 -60.92	-34.55	 22.31
30187860000	 -67.50	-45.78	 18.05
30485406000	 -70.33	-18.33	 21.25
30485442000	 -70.43	-23.43	 19.32
30485469000	-109.42	-27.15	 22.76
30485574000	 -70.78	-33.38	 19.98
30485682000	 -73.05	-36.77	 16.18
30485743000	 -72.63	-38.75	 15.59
30485782000	 -73.05	-40.60	 14.35
30485799000	 -73.08	-41.42	 13.67
30485934000	 -70.85	-53.00	 10.14
42570026000	-156.78	 71.30	-26.98
42570133000	-162.63	 66.87	-20.14
42570174000	-151.52	 66.92	-22.85
42570200000	-165.43	 64.50	-14.75
42570219000	-161.80	 60.78	-14.39
42570231000	-155.62	 62.97	-22.05
42570251000	-150.10	 62.30	-11.87
42570261000	-147.87	 64.82	-23.87
42570273000	-150.02	 61.17	-10.05
42570275000	-146.35	 61.13	 -6.72
42570291001	-141.94	 62.97	-26.33
42570296000	-145.50	 60.50	 -4.61
42570308000	-170.22	 57.15	 -2.98
42570316000	-162.72	 55.20	  -1.5
42570326000	-156.65	 58.68	-10.15
42570350000	-152.50	 57.75	 -0.97
42570361000	-139.67	 59.52	 -3.91
42570381001	-134.41	 58.30	 -2.65
42570398000	-131.57	 55.03	  1.94
42572201000	 -81.75	 24.55	 21.51
42572201001	 -81.68	 24.58	 20.79
42572202000	 -80.28	 25.82	 20.08
42572203000	 -80.10	 26.68	 18.99
42572203001	 -80.63	 26.65	 17.31
42572205000	 -81.32	 28.43	 15.81
42572205002	 -81.05	 29.18	 14.75
42572206000	 -81.70	 30.40	 12.55
42572206002	 -81.88	 30.22	 12.58
42572206003	 -81.67	 30.23	 13.16
42572206005	 -81.42	 30.40	 12.57
42572206006	 -81.47	 30.65	 12.43
42572206007	 -81.38	 31.15	 10.87
42572207000	 -81.20	 32.13	  9.69
42572207002	 -80.77	 32.38	  9.74
42572207003	 -80.72	 32.48	  9.59
42572208001	 -79.93	 32.78	  9.97
42572208002	 -80.18	 32.98	  8.06
42572211000	 -82.53	 27.97	 15.37
42572211001	 -82.75	 28.15	 15.41
42572211003	 -82.32	 28.73	 15.36
42572212001	 -82.08	 29.20	 15.07
42572212002	 -82.27	 29.68	 12.72
42572212003	 -82.60	 30.18	 12.37
42572214000	 -84.37	 30.38	 10.87
42572214001	 -84.65	 30.80	 10.92
42572215001	 -84.78	 33.43	  6.77
42572216002	 -83.53	 31.50	  9.14
42572217000	 -83.65	 32.70	  7.96
