recid	lon	lat	avgt
10365306000	   2.93	 11.13	 26.25
10365319000	   1.38	 10.32	 26.77
10365335000	   2.47	  8.03	 28.02
10365338000	   2.07	  7.17	 27.87
13361036000	   1.45	 14.20	 25.66
13361090000	   8.98	 13.78	 22.81
13361096000	  11.98	 13.23	 22.61
13761679000	 -16.07	 14.13	 26.85
13761695000	 -16.27	 12.55	 24.91
14168174000	  29.45	-23.87	 21.74
14168262000	  28.18	-25.73	 22.38
14168368000	  28.23	-26.13	 19.15
14168438000	  24.77	-28.80	 24.03
14168442000	  26.30	-29.10	 21.71
14168588000	  30.95	-29.97	 23.68
14168842000	  25.60	-33.98	 20.49
14168858000	  27.83	-33.03	 21.32
14168906000	  -9.88	-40.35	 14.03
20550745000	 123.92	 47.38	-14.33
20551777000	  88.17	 39.03	 -4.53
20552836000	  98.10	 36.30	 -8.26
20553068000	 111.53	 44.22	-14.27
20554292000	 129.47	 42.88	-10.08
20554342000	 123.43	 41.77	 -8.33
20557036000	 108.93	 34.30	  1.66
20557083000	 113.65	 34.72	  2.37
20742314000	  95.02	 27.48	 17.41
20742410000	  91.58	 26.10	 18.42
20742647000	  72.63	 23.07	 21.62
20742671000	  78.75	 23.85	 18.99
20742754000	  75.80	 22.72	 19.59
20742867000	  79.05	 21.10	 21.42
20742933000	  77.07	 20.70	 22.28
20743041000	  82.03	 19.08	 20.91
20743057000	  72.82	 18.90	 25.31
20743128000	  78.50	 17.50	 22.81
20743185000	  81.15	 16.20	 24.97
20743314000	  75.78	 11.25	 27.55
20743369000	  73.15	  8.30	 27.83
21047401000	 141.68	 45.42	 -3.09
21047407000	 142.37	 43.77	 -5.24
21047409000	 144.28	 44.02	 -3.93
21047412000	 141.33	 43.05	 -1.91
21047418000	 144.40	 42.98	 -3.27
21047420000	 145.58	 43.33	 -2.12
21047421000	 140.23	 42.80	 -1.18
21047426000	 142.78	 42.17	  -1.2
21047430000	 140.75	 41.82	 -1.22
21047575000	 140.77	 40.82	  0.39
21047582000	 140.10	 39.72	  1.47
21047585000	 141.97	 39.65	   1.7
21047590000	 140.90	 38.27	  3.06
21047598000	 140.90	 36.95	  5.06
21047600000	 136.90	 37.38	  4.21
21047605000	 136.63	 36.58	  4.86
21047618000	 137.97	 36.25	  0.65
21047624000	 139.10	 36.40	  4.64
21047636000	 136.97	 35.17	  5.48
21047648000	 140.87	 35.73	  7.49
21047655000	 138.22	 34.60	  7.67
21047662000	 139.77	 35.68	  7.22
21047678000	 139.78	 33.10	 11.27
21047696001	 139.67	 35.28	  8.49
21047755000	 132.07	 34.90	  6.89
21047764001	 132.23	 34.15	  6.62
21047772000	 135.52	 34.68	  6.99
21047778000	 135.77	 33.45	  8.89
21047800000	 129.30	 34.20	  6.85
21047807000	 130.38	 33.58	  7.67
21047815000	 131.62	 33.23	  7.07
21047817000	 129.87	 32.73	  8.09
21047827000	 130.55	 31.55	  9.34
21047830000	 131.42	 31.92	  8.62
21047837000	 131.00	 30.73	 12.79
