recid	lon	lat	avgd
10365306000	   2.93	 11.13	  0.34
10365319000	   1.38	 10.32	 -0.29
10365335000	   2.47	  8.03	 -0.26
10365338000	   2.07	  7.17	 -0.58
13361036000	   1.45	 14.20	 -0.49
13361090000	   8.98	 13.78	 -1.27
13361096000	  11.98	 13.23	 -0.51
13761679000	 -16.07	 14.13	  1.28
13761695000	 -16.27	 12.55	  0.61
14168174000	  29.45	-23.87	 -0.11
14168262000	  28.18	-25.73	  0.75
14168368000	  28.23	-26.13	 -0.12
14168438000	  24.77	-28.80	 -0.64
14168442000	  26.30	-29.10	 -0.13
14168588000	  30.95	-29.97	  0.21
14168842000	  25.60	-33.98	 -0.15
14168858000	  27.83	-33.03	  0.24
14168906000	  -9.88	-40.35	   0.7
20550745000	 123.92	 47.38	  2.98
20551777000	  88.17	 39.03	  1.14
20552836000	  98.10	 36.30	  0.57
20553068000	 111.53	 44.22	  2.28
20554292000	 129.47	 42.88	  2.84
20554342000	 123.43	 41.77	  1.99
20557036000	 108.93	 34.30	  0.85
20557083000	 113.65	 34.72	  0.99
20742314000	  95.02	 27.48	  0.54
20742410000	  91.58	 26.10	  0.38
20742647000	  72.63	 23.07	 -0.37
20742671000	  78.75	 23.85	 -0.55
20742754000	  75.80	 22.72	  0.29
20742867000	  79.05	 21.10	 -0.09
20742933000	  77.07	 20.70	 -0.26
20743041000	  82.03	 19.08	 -0.51
20743057000	  72.82	 18.90	 -0.18
20743128000	  78.50	 17.50	  0.53
20743185000	  81.15	 16.20	  0.82
20743314000	  75.78	 11.25	  0.56
20743369000	  73.15	  8.30	  1.08
21047401000	 141.68	 45.42	  1.31
21047407000	 142.37	 43.77	  1.76
21047409000	 144.28	 44.02	  1.63
21047412000	 141.33	 43.05	  1.71
21047418000	 144.40	 42.98	  1.64
21047420000	 145.58	 43.33	   1.5
21047421000	 140.23	 42.80	  0.81
21047426000	 142.78	 42.17	  0.78
21047430000	 140.75	 41.82	  1.56
21047575000	 140.77	 40.82	  1.71
21047582000	 140.10	 39.72	  1.12
21047585000	 141.97	 39.65	  0.66
21047590000	 140.90	 38.27	  1.01
21047598000	 140.90	 36.95	  0.83
21047600000	 136.90	 37.38	  0.83
21047605000	 136.63	 36.58	  1.16
21047618000	 137.97	 36.25	   0.9
21047624000	 139.10	 36.40	   0.7
21047636000	 136.97	 35.17	  1.17
21047648000	 140.87	 35.73	  0.91
21047655000	 138.22	 34.60	   0.9
21047662000	 139.77	 35.68	  1.51
21047678000	 139.78	 33.10	  0.32
21047696001	 139.67	 35.28	   2.0
21047755000	 132.07	 34.90	  0.87
21047764001	 132.23	 34.15	  1.03
21047772000	 135.52	 34.68	  1.42
21047778000	 135.77	 33.45	  0.64
21047800000	 129.30	 34.20	  1.43
21047807000	 130.38	 33.58	  1.62
21047815000	 131.62	 33.23	  1.13
21047817000	 129.87	 32.73	  1.07
21047827000	 130.55	 31.55	  1.73
21047830000	 131.42	 31.92	  0.98
21047837000	 131.00	 30.73	  0.98
21047843000	 128.83	 32.70	  1.04
21047891000	 134.05	 34.32	  1.22
21047898000	 133.02	 32.72	  0.96
21047909000	 129.50	 28.38	  0.77
21047918000	 124.17	 24.33	  1.03
21047927000	 125.28	 24.78	  0.95
21047936000	 127.68	 26.20	  0.99
21047945000	 131.23	 25.83	   0.5
21047991000	 153.97	 24.30	 -0.17
21941598000	  73.72	 32.93	  0.31
21941624000	  70.92	 31.82	  0.37
21941640000	  74.33	 31.55	  0.71
21941660000	  66.90	 30.30	  0.88
21941675000	  71.43	 30.20	  0.31
21941715000	  68.47	 28.30	 -0.02
21941739000	  64.10	 26.97	  0.18
21941780000	  67.13	 24.90	  0.67
22147115000	 130.90	 37.48	  1.51
22147138000	 129.38	 36.03	  2.02
